Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type
CHEMBL1224556		None	158.65	0	2.77	10b	SCc1ccccc1Cl	IC50	'='	1200	nM	5.92			UO_0000065	37.32	0.9	3.15	None	0	CHEMBL1225449	Inhibition of indoleamine-2,3-dioxygenase	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL1221317	1	Scientific Literature	Bioorg Med Chem Lett	2010	None		
CHEMBL1224626		None	193.1	0	3.42	10h	SCc1ccc(Cl)c(Cl)c1	IC50	'='	100	nM	7			UO_0000065	36.25	0.96	3.58	None	1	CHEMBL1225449	Inhibition of indoleamine-2,3-dioxygenase	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL1221317	1	Scientific Literature	Bioorg Med Chem Lett	2010	None		
CHEMBL1224554		None	142.58	0	1.83	9	OCc1ccc(Cl)cc1	IC50	'>'	20000	nM				UO_0000065					0	CHEMBL1225450	Inhibition of indoleamine-2,3-dioxygenase in human A431 cells assessed as inhibition of IFN-gamma-stimulated kynurenine production	B	BAO_0000219	cell-based format	Homo sapiens	None	None	A-431	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL1221317	1	Scientific Literature	Bioorg Med Chem Lett	2010	CHEMBL3307523		
CHEMBL259031		None	256.26	0	2.39	27	CC1(C)C=CC2=C(O1)C(=O)c1ccc(O)cc1C2=O	IC50	'='	5520	nM	5.26			UO_0000065	20.52	0.38	2.87	8.27	0	CHEMBL935410	Inhibition of purified human recombinant IDO	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL1144666	1	Scientific Literature	J Med Chem	2008	None		
CHEMBL1442185		None	303.32	0	2.41	4a	Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O	IC50	'='	808.9	nM	6.09			UO_0000065	20.08	0.36	3.68	9.39	0	CHEMBL3631086	Inhibition of recombinant human IDO expressed in Escherichia coli incubated for 1 hr measured by fluorescence assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL3627649	1	Scientific Literature	J Med Chem	2015	None		
CHEMBL1562612		None	268.73	0	2.52	CD02761	N=C(N)SCc1nc(-c2ccc(Cl)cc2)no1	IC50						Not Determined						0	CHEMBL3365098	Inhibition of IDO1 (unknown origin) using L-tryptophan substrate incubated for 60 mins in presence of 5 mM GSH by HPLC	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL3351924	1	Scientific Literature	Eur J Med Chem	2014	None		
CHEMBL3318330		None	397.81	0	4.88	DP00477	N#CC(C(=O)Nc1cccc(C(F)(F)F)c1)C(=S)Nc1ccccc1Cl	IC50	'='	71000	nM	4.15			UO_0000065	10.43	0.22	-0.73	6.39	0	CHEMBL3365098	Inhibition of IDO1 (unknown origin) using L-tryptophan substrate incubated for 60 mins in presence of 5 mM GSH by HPLC	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL3351924	1	Scientific Literature	Eur J Med Chem	2014	None		
CHEMBL3318357		None	241.12	0	3.43	4a	Clc1ccc(CCn2ccnc2)c(Cl)c1	IC50	'='	820000	nM		Outside typical range		UO_0000065					0	CHEMBL3365094	Inhibition of IDO1 (unknown origin) using L-tryptophan substrate incubated for 60 mins in presence of 0.01% Triton-X by HPLC	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL3351924	1	Scientific Literature	Eur J Med Chem	2014	None		
CHEMBL3318358		None	271.15	0	3.58	6a	COC(Cn1ccnc1)c1ccc(Cl)cc1Cl	IC50	'='	140000	nM		Outside typical range		UO_0000065					0	CHEMBL3365094	Inhibition of IDO1 (unknown origin) using L-tryptophan substrate incubated for 60 mins in presence of 0.01% Triton-X by HPLC	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL3351924	1	Scientific Literature	Eur J Med Chem	2014	None		
CHEMBL3318365		None	258.11	0	2.39	13	OC(Cc1c[nH]nn1)c1ccc(Cl)cc1Cl	IC50						Not Active						0	CHEMBL3365094	Inhibition of IDO1 (unknown origin) using L-tryptophan substrate incubated for 60 mins in presence of 0.01% Triton-X by HPLC	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL4685	Indoleamine 2,3-dioxygenase	Homo sapiens	SINGLE PROTEIN	CHEMBL3351924	1	Scientific Literature	Eur J Med Chem	2014	None		
