"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"
"CHEMBL3628556"	""	"None"	"323.74"	"0"	"2.76"	"4f"	"O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Cl)cc1"	"IC50"	"'='"	"6460.0"	"nM"	"5.19"	""	""	"UO_0000065"	"16.03"	"0.31"	"2.43"	"8.00"	"0"	"CHEMBL3631085"	"Inhibition of recombinant human TDO expressed in Escherichia coli incubated for 1 hr measured by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3627649"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""
"CHEMBL3628594"	""	"None"	"333.30"	"0"	"1.80"	"12b"	"O=C(O)c1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1"	"IC50"	"'='"	"312.0"	"nM"	"6.51"	""	""	"UO_0000065"	"19.52"	"0.36"	"4.71"	"6.37"	"0"	"CHEMBL3631085"	"Inhibition of recombinant human TDO expressed in Escherichia coli incubated for 1 hr measured by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3627649"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""
"CHEMBL1812527"	""	"None"	"254.72"	"0"	"4.39"	"3"	"Clc1cccc2c(/C=C/c3cccnc3)c[nH]c12"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2044106"	"Inhibition of human purified TDO assessed as formation of kynurenine from N-formylkynurenine preincubated for 10 mins measured after 5 to 20 mins by discontinuous colorimetric method"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2040834"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2012"	"None"	""	""
"CHEMBL3628552"	""	"None"	"307.28"	"0"	"2.24"	"4b"	"O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(F)cc1"	"IC50"	"'='"	"7380.0"	"nM"	"5.13"	""	""	"UO_0000065"	"16.70"	"0.30"	"2.89"	"7.91"	"0"	"CHEMBL3631085"	"Inhibition of recombinant human TDO expressed in Escherichia coli incubated for 1 hr measured by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3627649"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""
"CHEMBL3628555"	""	"None"	"368.19"	"0"	"2.86"	"4e"	"O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Br)cc1"	"IC50"	"'='"	"1586.0"	"nM"	"5.80"	""	""	"UO_0000065"	"15.75"	"0.34"	"2.94"	"8.94"	"0"	"CHEMBL3631085"	"Inhibition of recombinant human TDO expressed in Escherichia coli incubated for 1 hr measured by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3627649"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""
"CHEMBL4544607"	""	"None"	"253.70"	"0"	"2.81"	"9"	"Cl.NOC(c1ccccc1)c1cccc(F)c1"	"IC50"	"'='"	"6210.0"	"nM"	"5.21"	""	""	"UO_0000065"	"23.97"	"0.44"	"2.40"	"14.77"	"0"	"CHEMBL4329410"	"Inhibition of human TDO expressed in human T-REx cells using L-tryptophan as substrate after 20 hrs"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4325907"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"None"	""	""
"CHEMBL4468826"	""	"None"	"304.60"	"0"	"3.97"	"14"	"Cl.NOC(c1ccccc1)c1cccc(Cl)c1Cl"	"IC50"	"'='"	"4540.0"	"nM"	"5.34"	""	""	"UO_0000065"	"19.93"	"0.43"	"1.37"	"15.16"	"0"	"CHEMBL4329410"	"Inhibition of human TDO expressed in human T-REx cells using L-tryptophan as substrate after 20 hrs"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4325907"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"None"	""	""
"CHEMBL4438707"	""	"None"	"300.19"	"0"	"3.33"	"23"	"Cc1ccc(C(ON)c2ccc(Cl)cc2)c(O)c1.Cl"	"IC50"	"'='"	"19100.0"	"nM"	"4.72"	""	""	"UO_0000065"	"17.89"	"0.36"	"1.39"	"8.51"	"0"	"CHEMBL4329410"	"Inhibition of human TDO expressed in human T-REx cells using L-tryptophan as substrate after 20 hrs"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4325907"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"None"	""	""
"CHEMBL4519297"	""	"None"	"303.71"	"0"	"3.69"	"26"	"Cl.NOC(c1ccccc1)c1cccc(C(F)(F)F)c1"	"IC50"	"'='"	"13600.0"	"nM"	"4.87"	""	""	"UO_0000065"	"18.21"	"0.35"	"1.18"	"13.81"	"0"	"CHEMBL4329410"	"Inhibition of human TDO expressed in human T-REx cells using L-tryptophan as substrate after 20 hrs"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4325907"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"None"	""	""
"CHEMBL4286518"	""	"None"	"304.15"	"0"	"3.92"	"16"	"Nc1oc2cnccc2c1Nc1ccc(Br)cc1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"20.72"	"0.48"	"2.38"	"9.83"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4287546"	""	"None"	"259.70"	"0"	"3.81"	"17"	"Nc1oc2cnccc2c1Nc1ccc(Cl)cc1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"24.26"	"0.48"	"2.49"	"9.83"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4287297"	""	"None"	"273.72"	"0"	"4.12"	"33"	"Cc1ccc(Nc2c(N)oc3cnccc23)cc1Cl"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"23.02"	"0.45"	"2.18"	"9.83"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4290983"	""	"None"	"309.25"	"0"	"4.05"	"50"	"Nc1oc2cnccc2c1Nc1ccc(OC(F)(F)F)cc1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"20.38"	"0.39"	"2.25"	"8.60"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4294575"	""	"None"	"275.26"	"0"	"4.09"	"65"	"Nc1oc2cnccc2c1Nc1cccc(C(F)F)c1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"22.89"	"0.43"	"2.21"	"9.83"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4282281"	""	"None"	"372.76"	"1"	"5.15"	"180"	"Nc1oc2c(-c3ccncc3)nc(F)cc2c1Nc1ccc(F)c(Cl)c1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"16.90"	"0.33"	"1.15"	"8.19"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4279365"	""	"None"	"263.68"	"0"	"2.22"	"23"	"CC(=O)CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21"	"IC50"	"'='"	"39920.0"	"nM"	"4.40"	""	""	"UO_0000065"	"16.68"	"0.33"	"2.18"	"6.96"	"0"	"CHEMBL4262893"	"Inhibition of recombinant human TDO assessed as reduction in conversion of L-tryptophan to kynurenine by methylene blue dye based spectrometric method"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4261541"	"1"	"Scientific Literature"	"Medchemcomm"	"2017"	"None"	""	""
"CHEMBL4285274"	""	"None"	"336.78"	"0"	"4.87"	"217"	"Nc1oc2c(-c3ccncc3)nccc2c1Nc1cccc(Cl)c1"	"IC50"	"'<'"	"500.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4286928"	""	"None"	"331.44"	"1"	"5.60"	"265"	"Cc1cc(-c2cccc3c(Nc4ccccc4)c(N)sc23)ccn1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"19.01"	"0.36"	"0.70"	"12.37"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4290511"	""	"None"	"289.72"	"0"	"3.82"	"9"	"COc1cc(Nc2c(N)oc3cnccc23)ccc1Cl"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"21.75"	"0.43"	"2.48"	"8.60"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4279234"	""	"None"	"263.30"	"0"	"3.44"	"93"	"C#Cc1cccc(Nc2c(N)oc3c(C)nccc23)c1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"23.93"	"0.43"	"2.86"	"9.83"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4291741"	""	"None"	"250.26"	"0"	"3.03"	"99"	"N#Cc1cccc(Nc2c(N)oc3cnccc23)c1"	"IC50"	"'>'"	"2000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4287152"	""	"None"	"378.79"	"1"	"5.48"	"149"	"N#Cc1ccc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cc1"	"IC50"	"'='"	"500.0"	"nM"	"6.30"	""	""	"UO_0000065"	"16.63"	"0.32"	"0.82"	"7.17"	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
"CHEMBL4287776"	""	"None"	"364.83"	"1"	"6.01"	"209"	"CCOC(=O)Nc1sc2ccccc2c1Nc1ccc(F)c(Cl)c1"	"IC50"	"'>'"	"2000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4257087"	"Inhibition of recombinant human TDO2 expressed in CHOK1 cells assessed as reduction in kynurenine formation using L-tryptophan as substrate measured after 2 hrs by LC/MS/MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2140"	"Tryptophan 2,3-dioxygenase"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4257081"	"38"	"Patent Bioactivity Data"	""	"2016"	"None"	""	""
